key_0,AK_I,AL_I,AR_I,AZ_I,CA_I,CO_I,CT_I,DC_I,DE_I,FL_I,GA_I,IA_I,ID_I,IL_I,IN_I,KS_I,KY_I,LA_I,MA_I,MD_I,ME_I,MI_I,MN_I,MO_I,MS_I,MT_I,NC_I,ND_I,NE_I,NH_I,NJ_I,NM_I,NV_I,NY_I,OH_I,OK_I,OR_I,PA_I,RI_I,SC_I,SD_I,TN_I,TX_I,UT_I,VA_I,VT_I,WA_I,WI_I,WV_I,WY_I,AK_V,AL_V,AR_V,AZ_V,CA_V,CO_V,CT_V,DC_V,DE_V,FL_V,GA_V,IA_V,ID_V,IL_V,IN_V,KS_V,KY_V,LA_V,MA_V,MD_V,ME_V,MI_V,MN_V,MO_V,MS_V,MT_V,NC_V,ND_V,NE_V,NH_V,NJ_V,NM_V,NV_V,NY_V,OH_V,OK_V,OR_V,PA_V,RI_V,SC_V,SD_V,TN_V,TX_V,UT_V,VA_V,VT_V,WA_V,WI_V,WV_V,WY_V
2020-12-13,8890.0,47919.0,29455.0,82489.0,352832.0,62783.0,34180.0,3426.0,10959.0,132389.0,73322.0,28396.0,20695.0,128790.0,92122.0,32273.0,44403.0,36368.0,65614.0,38200.0,5751.0,63878.0,65854.0,54674.0,27485.0,11502.0,78269.0,8815.0,22556.0,10476.0,76310.0,24383.0,36306.0,88422.0,148295.0,44424.0,19733.0,134635.0,16876.0,37716.0,11138.0,82511.0,206004.0,40095.0,47313.0,1436.0,40512.0,59902.0,16220.0,6871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,8811.0,48307.0,29698.0,93473.0,372076.0,61179.0,36697.0,3486.0,10995.0,133125.0,74995.0,27884.0,20519.0,129814.0,91424.0,32572.0,43945.0,37229.0,68099.0,38591.0,5949.0,60678.0,63078.0,53403.0,27769.0,11105.0,80029.0,8738.0,21507.0,10881.0,77822.0,24204.0,37243.0,90122.0,149539.0,44058.0,19579.0,138317.0,16669.0,39018.0,10890.0,88231.0,203709.0,40166.0,48245.0,1465.0,40588.0,59555.0,16552.0,6470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-15,8544.0,48487.0,29889.0,87285.0,392181.0,58115.0,36708.0,3654.0,11473.0,134567.0,77590.0,27160.0,20714.0,124631.0,90281.0,32572.0,43594.0,34536.0,68955.0,38227.0,5837.0,57797.0,61852.0,52508.0,27839.0,10835.0,81133.0,8260.0,21248.0,10779.0,76966.0,23138.0,36865.0,91613.0,149264.0,43593.0,19438.0,142411.0,16679.0,39979.0,10787.0,90193.0,203566.0,39571.0,49759.0,1467.0,40223.0,58975.0,16890.0,6259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,8460.0,49123.0,29983.0,88282.0,425130.0,56753.0,36355.0,3760.0,11562.0,136851.0,78480.0,25969.0,20718.0,121997.0,89904.0,32508.0,42741.0,34210.0,69880.0,38412.0,5629.0,54923.0,58935.0,51796.0,28262.0,10304.0,82029.0,7958.0,20166.0,11101.0,78222.0,23394.0,37102.0,92305.0,146838.0,43296.0,19462.0,143658.0,16517.0,41075.0,10400.0,95345.0,203146.0,38495.0,51590.0,1444.0,39718.0,57232.0,16944.0,5803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-17,8042.0,50608.0,30233.0,88657.0,458823.0,53946.0,33925.0,3666.0,10989.0,139779.0,80418.0,22871.0,20423.0,119866.0,87796.0,32508.0,42280.0,35243.0,68340.0,38585.0,5436.0,52509.0,55545.0,51019.0,28425.0,10361.0,83196.0,7608.0,19468.0,11339.0,77465.0,23183.0,36847.0,93044.0,149329.0,43814.0,19643.0,142599.0,16014.0,41643.0,9849.0,102151.0,205443.0,37753.0,52009.0,1360.0,38563.0,55909.0,17460.0,5515.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-18,7770.0,51411.0,30284.0,90612.0,477817.0,51307.0,35067.0,3624.0,11340.0,140995.0,82183.0,24437.0,19852.0,116717.0,85858.0,32131.0,42595.0,35257.0,68528.0,37362.0,5248.0,50588.0,52916.0,50399.0,28665.0,9556.0,84855.0,7284.0,18741.0,11270.0,75645.0,22565.0,36823.0,93568.0,148899.0,44488.0,18871.0,139525.0,15216.0,43018.0,9374.0,107494.0,205439.0,37392.0,51799.0,1380.0,40538.0,54157.0,17579.0,5622.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2020-12-19,7210.0,51741.0,30732.0,89373.0,496357.0,48860.0,35067.0,3470.0,11037.0,140948.0,82929.0,24024.0,19364.0,114392.0,82912.0,32040.0,41375.0,35257.0,67253.0,36370.0,5168.0,49115.0,49354.0,50222.0,29045.0,9550.0,85104.0,7058.0,18076.0,11471.0,74472.0,22074.0,36230.0,92610.0,146997.0,45221.0,18571.0,137331.0,14466.0,43563.0,9032.0,110392.0,208955.0,36126.0,51795.0,1348.0,41272.0,52761.0,17643.0,5547.0,2.0,5.0,25.0,2.0,37.0,3.0,4.0,0.0,0.0,13.0,1.0,5.0,0.0,37.0,2.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,2.0,3.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,22.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
2020-12-20,6698.0,52007.0,30726.0,89363.0,512756.0,47446.0,35067.0,3465.0,10685.0,144144.0,86513.0,22927.0,19450.0,112797.0,82809.0,32131.0,40795.0,35022.0,66687.0,35781.0,5090.0,47930.0,46457.0,50272.0,28874.0,9295.0,85238.0,6779.0,17523.0,11771.0,73558.0,21905.0,35806.0,92748.0,147782.0,45421.0,18434.0,135583.0,14551.0,43903.0,8736.0,114389.0,206355.0,35557.0,52019.0,1326.0,41339.0,51657.0,17345.0,5345.0,6.0,4.0,1.0,9.0,74.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,26.0,28.0,0.0,2.0,0.0,2.0,6.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,8.0,0.0,4.0,10.0,2.0,26.0,0.0,21.0,0.0,9.0,0.0,1.0,1.0,275.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0
2020-12-21,6291.0,52437.0,31065.0,95544.0,525913.0,45186.0,31533.0,3421.0,10547.0,146501.0,84748.0,22842.0,18984.0,108805.0,81025.0,30575.0,40675.0,35125.0,68049.0,35744.0,5155.0,45652.0,43159.0,49437.0,29039.0,8733.0,85732.0,6636.0,16979.0,11572.0,73014.0,20861.0,35297.0,93880.0,145057.0,45636.0,17967.0,136222.0,13881.0,43847.0,8574.0,120333.0,207144.0,35145.0,51752.0,1361.0,39472.0,50964.0,17209.0,5133.0,0.0,0.0,3.0,8.0,28.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,34.0,1.0,6.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0
2020-12-22,6170.0,53510.0,30723.0,89100.0,535300.0,43265.0,30702.0,3311.0,10237.0,148273.0,88250.0,22399.0,18689.0,107134.0,79309.0,30575.0,40812.0,36398.0,67727.0,35436.0,5242.0,43900.0,41808.0,48768.0,28786.0,8601.0,85258.0,4573.0,16788.0,11385.0,72077.0,22128.0,33693.0,94266.0,127014.0,46539.0,17991.0,134303.0,13500.0,44069.0,8471.0,119037.0,208449.0,35114.0,52004.0,1331.0,35992.0,49371.0,17677.0,4904.0,0.0,4.0,0.0,8.0,114.0,0.0,2.0,73.0,1.0,8.0,20.0,0.0,0.0,21.0,20.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,59.0,0.0,0.0,0.0,74.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
