submission_date,state,tot_cases
2020-06-28T00:00:00.000,AK,887
2021-02-25T00:00:00.000,AK,55950
2021-04-18T00:00:00.000,AK,63580
2021-01-12T00:00:00.000,AK,49152
2020-06-18T00:00:00.000,AK,713
2020-05-15T00:00:00.000,AK,390
2020-02-24T00:00:00.000,AK,0
2020-02-10T00:00:00.000,AK,0
2020-05-09T00:00:00.000,AK,378
2020-06-02T00:00:00.000,AK,490
2020-08-18T00:00:00.000,AK,4381
2021-03-01T00:00:00.000,AK,56398
2020-11-21T00:00:00.000,AK,26322
2020-07-05T00:00:00.000,AK,1141
2021-09-29T00:00:00.000,AK,108608
2020-07-10T00:00:00.000,AK,1323
2021-09-17T00:00:00.000,AK,96002
2021-05-08T00:00:00.000,AK,66196
2020-04-01T00:00:00.000,AK,141
2020-12-01T00:00:00.000,AK,32332
2021-10-12T00:00:00.000,AK,119546
2021-05-26T00:00:00.000,AK,67317
2021-02-16T00:00:00.000,AK,54818
2020-10-11T00:00:00.000,AK,9714
2021-07-28T00:00:00.000,AK,71757
2021-11-15T00:00:00.000,AK,140904
2020-12-29T00:00:00.000,AK,45033
2021-08-24T00:00:00.000,AK,81097
2021-07-09T00:00:00.000,AK,68791
2020-11-05T00:00:00.000,AK,17263
2020-11-08T00:00:00.000,AK,18888
2020-12-13T00:00:00.000,AK,40198
2021-06-30T00:00:00.000,AK,68379
2021-09-15T00:00:00.000,AK,94105
2021-04-12T00:00:00.000,AK,62566
2020-12-10T00:00:00.000,AK,38435
2020-02-11T00:00:00.000,AK,0
2020-11-26T00:00:00.000,AK,29292
2020-11-10T00:00:00.000,AK,19898
2021-08-01T00:00:00.000,AK,72753
2021-10-23T00:00:00.000,AK,128084
2021-07-19T00:00:00.000,AK,69891
2020-12-18T00:00:00.000,AK,42334
2021-05-16T00:00:00.000,AK,66769
2021-06-06T00:00:00.000,AK,67680
2020-03-01T00:00:00.000,AK,0
2020-10-18T00:00:00.000,AK,11024
2020-03-23T00:00:00.000,AK,38
2020-07-02T00:00:00.000,AK,1020
2020-03-26T00:00:00.000,AK,63
2020-02-01T00:00:00.000,AK,0
2020-05-16T00:00:00.000,AK,394
2020-02-29T00:00:00.000,AK,0
2020-03-13T00:00:00.000,AK,1
2020-11-16T00:00:00.000,AK,23418
2020-07-14T00:00:00.000,AK,1580
2021-12-23T00:00:00.000,AK,149815
2020-08-28T00:00:00.000,AK,5118
2020-03-31T00:00:00.000,AK,128
2020-02-14T00:00:00.000,AK,0
2020-04-22T00:00:00.000,AK,335
2021-09-02T00:00:00.000,AK,86028
2020-11-23T00:00:00.000,AK,27350
2020-09-13T00:00:00.000,AK,6277
2020-06-05T00:00:00.000,AK,529
2021-08-20T00:00:00.000,AK,79479
2020-10-31T00:00:00.000,AK,15398
2021-01-29T00:00:00.000,AK,52507
2020-09-23T00:00:00.000,AK,7064
2020-06-12T00:00:00.000,AK,630
2020-09-12T00:00:00.000,AK,6215
2021-11-08T00:00:00.000,AK,138161
2020-06-11T00:00:00.000,AK,616
2021-07-25T00:00:00.000,AK,71107
2021-08-29T00:00:00.000,AK,83620
2020-09-09T00:00:00.000,AK,5909
2020-03-24T00:00:00.000,AK,42
2021-04-28T00:00:00.000,AK,65100
2020-09-22T00:00:00.000,AK,6988
2021-03-20T00:00:00.000,AK,58893
2021-02-28T00:00:00.000,AK,56331
2020-08-20T00:00:00.000,AK,4537
2020-11-19T00:00:00.000,AK,25176
2021-01-14T00:00:00.000,AK,49778
2021-07-21T00:00:00.000,AK,70328
2021-09-07T00:00:00.000,AK,88658
2021-08-04T00:00:00.000,AK,73584
2020-07-01T00:00:00.000,AK,982
2020-09-04T00:00:00.000,AK,5595
2021-01-16T00:00:00.000,AK,50264
2020-03-27T00:00:00.000,AK,74
2021-07-06T00:00:00.000,AK,68634
2020-02-13T00:00:00.000,AK,0
2020-11-15T00:00:00.000,AK,22857
2021-08-11T00:00:00.000,AK,75654
2021-10-22T00:00:00.000,AK,128084
2021-03-22T00:00:00.000,AK,59060
2020-07-13T00:00:00.000,AK,1537
2020-12-23T00:00:00.000,AK,43786
2021-04-21T00:00:00.000,AK,64007
2021-06-04T00:00:00.000,AK,67648
2021-05-01T00:00:00.000,AK,65498
2020-12-07T00:00:00.000,AK,36696
2020-12-12T00:00:00.000,AK,39557
2021-06-13T00:00:00.000,AK,67863
2020-07-29T00:00:00.000,AK,2803
2020-06-10T00:00:00.000,AK,598
2021-12-06T00:00:00.000,AK,147103
2020-06-24T00:00:00.000,AK,797
2021-03-30T00:00:00.000,AK,60379
2021-05-11T00:00:00.000,AK,66407
2020-12-27T00:00:00.000,AK,44702
2021-03-24T00:00:00.000,AK,59443
2021-10-31T00:00:00.000,AK,132645
2021-11-19T00:00:00.000,AK,142717
2021-05-31T00:00:00.000,AK,67481
2020-03-04T00:00:00.000,AK,0
2021-02-13T00:00:00.000,AK,54488
2020-10-21T00:00:00.000,AK,11682
2020-03-06T00:00:00.000,AK,0
2020-05-22T00:00:00.000,AK,406
2021-06-15T00:00:00.000,AK,67910
2021-03-15T00:00:00.000,AK,58212
2021-02-02T00:00:00.000,AK,52940
2020-09-26T00:00:00.000,AK,7440
2020-01-24T00:00:00.000,AK,0
2020-05-06T00:00:00.000,AK,372
2020-08-16T00:00:00.000,AK,4265
