,state,SIR MAE,ARIMA MAE,SIR RMSE,ARIMA RMSE
0,AK,,,19.779912695735963,12.109803026007302
1,AL,,,47.92766191325549,28.67618092009232
2,AR,,,37.155496915119855,17.231266250514054
3,AZ,,,59.86723371001637,25.813960546689092
4,CA,,,125.52994829414324,87.47553929410414
5,CO,,,45.569179580653326,26.524660450600166
6,CT,,,35.101171878597675,23.017133919784154
7,DC,,,14.564353109528843,12.391071941361357
8,DE,,,20.890530205776415,9.715275315912542
9,FL,,,96.37817490683598,45.33585506923461
10,GA,,,67.12398841649035,33.53814186304782
11,IA,,,34.412281553593964,18.830212820455003
12,ID,,,28.007686160485846,14.41474502981888
13,IL,,,64.77885839864275,39.34712675378039
14,IN,,,55.339225531426464,31.410944221797646
15,KS,,,35.304113617468,18.424476557849353
16,KY,,,46.722406480844576,20.72098975975449
17,LA,,,44.860816018353276,25.912829671848073
18,MA,,,51.52331247098287,26.99871194947061
19,MD,,,38.67326382235203,18.37461554794495
20,ME,,,20.45823464183936,10.747211976820164
21,MI,,,62.567813486297574,43.357437710089584
22,MN,,,48.127339637260015,33.00694911358967
23,MO,,,48.89877990531881,35.45926164097
24,MS,,,36.47185943422691,20.53395817950992
25,MT,,,21.769085708767054,12.54587012751412
26,NC,,,65.26775828983203,23.99921763395717
27,ND,,,17.83199158801485,9.136781129518688
28,NE,,,27.10710933536768,16.403003896833333
29,NH,,,24.188798290681433,14.928623918727965
30,NJ,,,57.39286819620154,31.56605059707919
31,NM,,,29.404686212270523,16.19732795690815
32,NV,,,35.46614672958949,21.869126374387506
33,NY,,,69.53308573417397,31.563348124866188
34,OH,,,70.10352774510693,32.792663145836485
35,OK,,,41.48486064966728,22.409861643084376
36,OR,,,33.43672545134869,17.25243043177382
37,PA,,,72.66142468008627,37.06848714289129
38,RI,,,21.96283539779746,9.899763769606363
39,SC,,,49.92064183395432,19.09290566825114
40,SD,,,18.524892590171767,11.537414166997829
41,TN,,,59.11262155354801,35.15884322862878
42,TX,,,111.17306866428976,57.03319625803533
43,UT,,,38.70065831766814,18.73049670387331
44,VA,,,52.14572182650693,25.281500953935577
45,VT,,,12.764242541818696,7.944236554250963
46,WA,,,46.43675690772851,24.796771351849188
47,WI,,,47.486244459654756,27.188927014784245
48,WV,,,30.231546746440866,14.618223374751489
49,WY,,,16.885700362061616,9.56554689463932
