Date,AK_V,AL_V,AR_V,AZ_V,CA_V,CO_V,CT_V,DC_V,DE_V,FL_V,GA_V,IA_V,ID_V,IL_V,IN_V,KS_V,KY_V,LA_V,MA_V,MD_V,ME_V,MI_V,MN_V,MO_V,MS_V,MT_V,NC_V,ND_V,NE_V,NH_V,NJ_V,NM_V,NV_V,NY_V,OH_V,OK_V,OR_V,PA_V,RI_V,SC_V,SD_V,TN_V,TX_V,UT_V,VA_V,VT_V,WA_V,WI_V,WV_V,WY_V
2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-18,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2020-12-19,2.0,5.0,25.0,2.0,37.0,3.0,4.0,0.0,0.0,13.0,1.0,5.0,0.0,37.0,2.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,2.0,3.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,22.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,34.0,,0.0,0.0,2.0,0.0,1.0,0.0,1.0
2020-12-20,6.0,4.0,1.0,9.0,74.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,26.0,28.0,0.0,2.0,0.0,2.0,6.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,8.0,0.0,4.0,10.0,2.0,26.0,0.0,21.0,0.0,9.0,0.0,1.0,1.0,275.0,,0.0,0.0,4.0,3.0,0.0,1.0,3.0
2020-12-21,0.0,0.0,3.0,8.0,28.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,34.0,1.0,6.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,,2.0,1.0,0.0,2.0,2.0,0.0,0.0
2020-12-22,0.0,4.0,0.0,8.0,114.0,0.0,2.0,73.0,1.0,8.0,20.0,0.0,0.0,21.0,20.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,59.0,0.0,0.0,0.0,74.0,,0.0,25.0,0.0,0.0,0.0,0.0,0.0
