submission_date,state,tot_cases,I_actual
2020-01-23,AK,0,0.0
2020-01-24,AK,0,0.0
2020-01-25,AK,0,0.0
2020-01-26,AK,0,0.0
2020-01-27,AK,0,0.0
2020-01-28,AK,0,0.0
2020-01-29,AK,0,0.0
2020-01-30,AK,0,0.0
2020-01-31,AK,0,0.0
2020-02-01,AK,0,0.0
2020-02-02,AK,0,0.0
2020-02-03,AK,0,0.0
2020-02-04,AK,0,0.0
2020-02-05,AK,0,0.0
2020-02-06,AK,0,0.0
2020-02-07,AK,0,0.0
2020-02-08,AK,0,0.0
2020-02-09,AK,0,0.0
2020-02-10,AK,0,0.0
2020-02-11,AK,0,0.0
2020-02-12,AK,0,0.0
2020-02-13,AK,0,0.0
2020-02-14,AK,0,0.0
2020-02-15,AK,0,0.0
2020-02-16,AK,0,0.0
2020-02-17,AK,0,0.0
2020-02-18,AK,0,0.0
2020-02-19,AK,0,0.0
2020-02-20,AK,0,0.0
2020-02-21,AK,0,0.0
2020-02-22,AK,0,0.0
2020-02-23,AK,0,0.0
2020-02-24,AK,0,0.0
2020-02-25,AK,0,0.0
2020-02-26,AK,0,0.0
2020-02-27,AK,0,0.0
2020-02-28,AK,0,0.0
2020-02-29,AK,0,0.0
2020-03-01,AK,0,0.0
2020-03-02,AK,0,0.0
2020-03-03,AK,0,0.0
2020-03-04,AK,0,0.0
2020-03-05,AK,0,0.0
2020-03-06,AK,0,0.0
2020-03-07,AK,0,0.0
2020-03-08,AK,0,0.0
2020-03-09,AK,0,0.0
2020-03-10,AK,0,0.0
2020-03-11,AK,0,0.0
2020-03-12,AK,0,0.0
2020-03-13,AK,1,1.0
2020-03-14,AK,1,1.0
2020-03-15,AK,1,1.0
2020-03-16,AK,1,1.0
2020-03-17,AK,3,3.0
2020-03-18,AK,8,8.0
2020-03-19,AK,11,11.0
2020-03-20,AK,14,14.0
2020-03-21,AK,15,15.0
2020-03-22,AK,25,25.0
2020-03-23,AK,38,38.0
2020-03-24,AK,42,42.0
2020-03-25,AK,49,49.0
2020-03-26,AK,63,63.0
2020-03-27,AK,74,73.0
2020-03-28,AK,91,90.0
2020-03-29,AK,110,109.0
2020-03-30,AK,118,117.0
2020-03-31,AK,128,125.0
2020-04-01,AK,141,133.0
2020-04-02,AK,149,138.0
2020-04-03,AK,160,146.0
2020-04-04,AK,171,156.0
2020-04-05,AK,185,160.0
2020-04-06,AK,191,153.0
2020-04-07,AK,213,171.0
2020-04-08,AK,226,177.0
2020-04-09,AK,235,172.0
2020-04-10,AK,246,172.0
2020-04-11,AK,257,166.0
2020-04-12,AK,272,162.0
2020-04-13,AK,277,159.0
2020-04-14,AK,285,157.0
2020-04-15,AK,293,152.0
2020-04-16,AK,300,151.0
2020-04-17,AK,309,149.0
2020-04-18,AK,314,143.0
2020-04-19,AK,319,134.0
2020-04-20,AK,321,130.0
2020-04-21,AK,329,116.0
2020-04-22,AK,335,109.0
2020-04-23,AK,337,102.0
2020-04-24,AK,339,93.0
2020-04-25,AK,339,82.0
2020-04-26,AK,341,69.0
2020-04-27,AK,345,68.0
2020-04-28,AK,351,66.0
2020-04-29,AK,355,62.0
2020-04-30,AK,355,55.0
2020-05-01,AK,364,55.0
2020-05-02,AK,365,51.0
2020-05-03,AK,368,49.0
2020-05-04,AK,370,49.0
2020-05-05,AK,371,42.0
2020-05-06,AK,372,37.0
2020-05-07,AK,374,37.0
2020-05-08,AK,377,38.0
2020-05-09,AK,378,39.0
2020-05-10,AK,379,38.0
2020-05-11,AK,381,36.0
2020-05-12,AK,383,32.0
2020-05-13,AK,384,29.0
2020-05-14,AK,389,34.0
2020-05-15,AK,390,26.0
2020-05-16,AK,394,29.0
2020-05-17,AK,398,30.0
2020-05-18,AK,401,31.0
2020-05-19,AK,401,30.0
2020-05-20,AK,404,32.0
2020-05-21,AK,404,30.0
2020-05-22,AK,406,29.0
2020-05-23,AK,410,32.0
2020-05-24,AK,410,31.0
2020-05-25,AK,411,30.0
2020-05-26,AK,413,30.0
2020-05-27,AK,414,30.0
2020-05-28,AK,427,38.0
2020-05-29,AK,432,42.0
2020-05-30,AK,435,41.0
2020-05-31,AK,463,65.0
2020-06-01,AK,470,69.0
2020-06-02,AK,490,89.0
2020-06-03,AK,508,104.0
2020-06-04,AK,518,114.0
2020-06-05,AK,529,123.0
2020-06-06,AK,541,131.0
2020-06-07,AK,549,139.0
2020-06-08,AK,567,156.0
2020-06-09,AK,578,165.0
2020-06-10,AK,598,184.0
2020-06-11,AK,616,189.0
2020-06-12,AK,630,198.0
2020-06-13,AK,656,221.0
2020-06-14,AK,665,202.0
2020-06-15,AK,668,198.0
2020-06-16,AK,681,191.0
2020-06-17,AK,701,193.0
2020-06-18,AK,713,195.0
2020-06-19,AK,729,200.0
2020-06-20,AK,750,209.0
2020-06-21,AK,761,212.0
2020-06-22,AK,767,200.0
2020-06-23,AK,783,205.0
2020-06-24,AK,797,199.0
2020-06-25,AK,821,205.0
2020-06-26,AK,839,209.0
2020-06-27,AK,858,202.0
2020-06-28,AK,887,222.0
2020-06-29,AK,908,240.0
2020-06-30,AK,944,263.0
2020-07-01,AK,982,281.0
2020-07-02,AK,1020,307.0
2020-07-03,AK,1065,336.0
2020-07-04,AK,1114,364.0
2020-07-05,AK,1141,380.0
2020-07-06,AK,1168,401.0
2020-07-07,AK,1186,403.0
2020-07-08,AK,1226,429.0
2020-07-09,AK,1273,452.0
2020-07-10,AK,1323,484.0
2020-07-11,AK,1386,528.0
2020-07-12,AK,1478,591.0
2020-07-13,AK,1537,629.0
2020-07-14,AK,1580,636.0
2020-07-15,AK,1631,649.0
2020-07-16,AK,1694,674.0
2020-07-17,AK,1736,671.0
2020-07-18,AK,1798,684.0
2020-07-19,AK,1881,740.0
2020-07-20,AK,1954,786.0
2020-07-21,AK,2044,858.0
2020-07-22,AK,2138,912.0
2020-07-23,AK,2202,929.0
2020-07-24,AK,2259,936.0
2020-07-25,AK,2347,961.0
2020-07-26,AK,2532,1054.0
2020-07-27,AK,2626,1089.0
2020-07-28,AK,2735,1155.0
2020-07-29,AK,2803,1172.0
2020-07-30,AK,2887,1193.0
2020-07-31,AK,2993,1257.0
2020-08-01,AK,3138,1340.0
2020-08-02,AK,3274,1393.0
2020-08-03,AK,3333,1379.0
2020-08-04,AK,3393,1349.0
2020-08-05,AK,3448,1310.0
2020-08-06,AK,3488,1286.0
2020-08-07,AK,3543,1284.0
2020-08-08,AK,3622,1275.0
2020-08-09,AK,3720,1188.0
