key_0,I,Vax,I_SIR,S_SIR,I_Arima,Herd_Immunity,state
2020-12-13,8890.0,0.0,8890.0,586712.8,8890.0,0,AK
2020-12-14,8811.0,0.0,9677.4,585428.1882,8811.0,0,AK
2020-12-15,8544.0,0.0,9588.316177712702,584160.6666912301,8544.0,0,AK
2020-12-16,8460.0,0.0,9294.807818689158,582940.2594915641,8460.0,0,AK
2020-12-17,8042.0,0.0,9200.610690305732,581737.353827481,8042.0,0,AK
2020-12-18,7770.0,0.0,8743.379776227892,580605.157125997,7770.0,0,AK
2020-12-19,7210.0,2.0,8445.25836719267,579519.9146016783,7210.0,0,AK
2020-12-20,6698.0,6.0,7834.45728384398,578525.1184032325,6698.0,0,AK
2020-12-21,6291.0,0.0,7276.295943343181,577610.5617700575,6291.0,0,AK
2020-12-22,6170.0,0.0,6832.587126733139,576769.1069386972,6170.0,0,AK
2020-12-23,5959.0,1.0,6699.754506461174,575949.090039583,5959.0,0,AK
2020-12-24,5622.0,17.0,6469.305532609915,575163.6245597907,5622.0,0,AK
2020-12-25,5174.0,19.0,6102.241928089655,574417.4165785698,5174.0,0,AK
2020-12-26,4837.0,0.0,5614.920031884868,573741.724701535,4837.0,0,AK
2020-12-27,4504.0,0.0,5248.310138761268,573139.7268380722,4504.0,0,AK
2020-12-28,4222.0,1.0,4886.254355754911,572591.5054697649,4222.0,0,AK
2020-12-29,4157.0,1.0,4579.689821183027,572087.8217145407,4157.0,0,AK
2020-12-30,3912.0,6.0,4508.611995572482,571595.4273258251,3912.0,0,AK
2020-12-31,3924.0,4.0,4242.363834450047,571137.5184926206,3924.0,0,AK
2021-01-01,3907.0,3.0,4254.8872132699935,570680.6750465722,3907.0,0,AK
2021-01-02,3871.0,14.0,4235.966956793802,570228.4399861604,3871.0,0,AK
2021-01-03,3859.0,0.0,4196.458379960056,569771.7731662142,3859.0,0,AK
2021-01-04,3925.0,10.0,4182.968884110695,569331.9216517945,3925.0,0,AK
2021-01-05,3697.0,0.0,4254.038879860151,568872.6597074254,3697.0,0,AK
2021-01-06,3675.0,93.0,4006.4622588990615,568459.9473602475,3675.0,0,AK
2021-01-07,3741.0,186.0,3982.20710209122,567958.4963107961,3741.0,0,AK
2021-01-08,3991.0,937.0,4053.212714262176,567354.7608145088,3991.0,0,AK
2021-01-09,4177.0,1502.0,4323.419882451124,565962.3147426717,4177.0,0,AK
2021-01-10,4117.0,1997.0,4523.326140324718,563978.8831447471,4117.0,0,AK
2021-01-11,4168.0,577.0,4456.124523357877,561513.9823096731,4168.0,0,AK
2021-01-12,4119.0,184.0,4508.523783273939,560466.4532583752,4119.0,0,AK
2021-01-13,4047.0,785.0,4454.343841116081,559821.7006782864,4047.0,0,AK
2021-01-14,4007.0,1063.0,4375.770465491909,558588.3810835448,4007.0,0,AK
2021-01-15,3828.0,2468.0,4331.173254629614,557085.7891621174,3828.0,0,AK
2021-01-16,3734.0,565.0,4136.123261335284,554208.7145401915,3734.0,0,AK
2021-01-17,3824.0,446.0,4031.627338356114,553254.8212015808,3824.0,0,AK
2021-01-18,3758.0,172.0,4127.806256297271,552408.1842669391,3758.0,0,AK
2021-01-19,3676.0,209.0,4055.695080613833,551847.2854306297,3676.0,0,AK
2021-01-20,3497.0,429.0,3966.63705673668,551262.944659891,3497.0,0,AK
2021-01-21,3359.0,1105.0,3772.9274503087895,550486.8625506365,3359.0,0,AK
2021-01-22,3225.0,1411.0,3623.327786041752,549057.1513306156,3225.0,0,AK
2021-01-23,3092.0,1540.0,3477.525606737885,547344.37742969,3092.0,0,AK
2021-01-24,3008.0,1076.0,3332.6671504632286,545525.8077589399,3008.0,0,AK
2021-01-25,2914.0,493.0,3240.637203198069,544187.1706051257,2914.0,0,AK
2021-01-26,2839.0,160.0,3138.30352279454,543448.0140545833,2839.0,0,AK
2021-01-27,2710.0,1299.0,3056.958175917728,543054.3741503253,2710.0,0,AK
2021-01-28,2552.0,2035.0,2917.763562980794,541541.6657846228,2552.0,0,AK
2021-01-29,2438.0,1591.0,2746.5976483632294,539319.0797561893,2438.0,0,AK
