submission_date,state,tot_cases
2020-10-31T00:00:00.000,OH,215697
2020-02-23T00:00:00.000,OH,0
2020-11-10T00:00:00.000,OH,261482
2021-10-29T00:00:00.000,OH,1539490
2020-05-19T00:00:00.000,OH,28952
2020-07-27T00:00:00.000,OH,85177
2020-06-29T00:00:00.000,OH,51046
2020-12-03T00:00:00.000,OH,446849
2020-02-05T00:00:00.000,OH,0
2020-08-06T00:00:00.000,OH,97471
2021-05-16T00:00:00.000,OH,1090894
2020-09-22T00:00:00.000,OH,145850
2020-05-07T00:00:00.000,OH,22131
2020-04-08T00:00:00.000,OH,5148
2021-09-28T00:00:00.000,OH,1400979
2020-10-30T00:00:00.000,OH,212782
2021-02-25T00:00:00.000,OH,962404
2021-10-18T00:00:00.000,OH,1499485
2020-03-11T00:00:00.000,OH,3
2020-03-01T00:00:00.000,OH,0
2021-09-13T00:00:00.000,OH,1304193
2021-12-16T00:00:00.000,OH,1819342
2020-07-31T00:00:00.000,OH,91159
2020-04-06T00:00:00.000,OH,4450
2020-02-17T00:00:00.000,OH,0
2021-03-03T00:00:00.000,OH,972605
2021-06-23T00:00:00.000,OH,1109697
2021-03-21T00:00:00.000,OH,999750
2020-08-03T00:00:00.000,OH,93963
2020-09-01T00:00:00.000,OH,124610
2021-12-20T00:00:00.000,OH,1855222
2021-02-03T00:00:00.000,OH,906727
2021-01-18T00:00:00.000,OH,831066
2021-12-03T00:00:00.000,OH,1717876
2021-06-03T00:00:00.000,OH,1103380
2021-10-19T00:00:00.000,OH,1503102
2021-11-14T00:00:00.000,OH,1604488
2020-08-27T00:00:00.000,OH,118828
2021-09-24T00:00:00.000,OH,1380370
2020-10-20T00:00:00.000,OH,185639
2021-09-18T00:00:00.000,OH,1342777
2020-07-30T00:00:00.000,OH,89626
2020-11-28T00:00:00.000,OH,406703
2021-09-21T00:00:00.000,OH,1358918
2021-11-23T00:00:00.000,OH,1653380
2020-08-10T00:00:00.000,OH,101731
2020-02-11T00:00:00.000,OH,0
2021-08-04T00:00:00.000,OH,1134965
2021-05-13T00:00:00.000,OH,1088343
2020-07-20T00:00:00.000,OH,76168
2021-06-24T00:00:00.000,OH,1110000
2021-03-11T00:00:00.000,OH,984934
2021-03-09T00:00:00.000,OH,981618
2021-12-25T00:00:00.000,OH,1910991
2021-10-13T00:00:00.000,OH,1480371
