,submission_date,state,tot_cases
0,2021-12-20,MD,621983
1,2021-11-25,MD,581611
2,2020-02-26,MD,0
3,2020-03-17,MD,57
4,2020-11-04,MD,148766
5,2021-07-02,MD,462439
6,2020-01-31,MD,0
7,2021-09-29,MD,530861
8,2020-11-22,MD,182139
9,2020-08-11,MD,96843
10,2021-09-27,MD,528764
11,2021-11-04,MD,563696
12,2020-03-29,MD,1239
13,2020-09-06,MD,112119
14,2021-01-26,MD,344620
15,2020-11-16,MD,167656
16,2020-10-15,MD,133548
17,2020-11-13,MD,161769
18,2020-02-22,MD,0
19,2020-11-30,MD,198370
20,2021-04-17,MD,434859
21,2021-02-21,MD,376355
22,2021-10-03,MD,536249
23,2021-10-30,MD,560634
24,2020-12-25,MD,263160
25,2021-11-22,MD,578851
26,2021-09-18,MD,518061
27,2021-01-04,MD,287802
28,2020-09-11,MD,114724
29,2020-07-14,MD,74260
30,2020-03-18,MD,85
31,2020-07-18,MD,77206
32,2020-09-15,MD,117245
33,2020-07-09,MD,71447
34,2021-11-15,MD,572342
35,2021-11-12,MD,569823
36,2020-01-29,MD,0
37,2021-04-22,MD,439992
38,2021-06-16,MD,461470
39,2021-01-01,MD,280219
40,2021-10-13,MD,546552
41,2021-02-04,MD,359037
42,2021-03-25,MD,403982
43,2020-09-17,MD,118519
44,2021-07-09,MD,462980
45,2020-12-19,MD,248754
46,2021-05-31,MD,459894
47,2020-06-27,MD,66450
48,2020-12-18,MD,246553
49,2021-05-18,MD,456428
50,2021-12-27,MD,673128
51,2020-10-11,MD,131357
52,2020-09-09,MD,113575
53,2021-05-29,MD,459528
54,2020-03-09,MD,6
55,2020-04-02,MD,2331
56,2021-05-22,MD,458048
57,2021-08-03,MD,469910
58,2021-01-18,MD,328214
59,2020-11-24,MD,185464
60,2020-04-17,MD,11572
61,2021-08-29,MD,494982
62,2021-01-22,MD,336915
63,2021-11-19,MD,575996
64,2021-02-13,MD,370136
65,2020-02-20,MD,0
66,2021-07-31,MD,468548
67,2020-04-18,MD,12308
68,2020-09-28,MD,123880
69,2021-11-06,MD,565355
70,2021-06-06,MD,460575
71,2020-11-18,MD,171823
72,2020-01-27,MD,0
73,2020-05-04,MD,26408
74,2020-10-29,MD,143387
75,2020-11-08,MD,153996
76,2021-03-20,MD,399016
77,2020-03-24,MD,349
78,2021-03-30,MD,409978
79,2020-10-07,MD,128664
80,2021-12-13,MD,604385
81,2020-02-17,MD,0
82,2020-11-23,MD,183797
83,2021-10-08,MD,541627
84,2020-11-17,MD,169805
85,2020-11-09,MD,155371
86,2020-11-19,MD,174733
87,2020-10-30,MD,144314
88,2021-08-20,MD,484847
89,2021-06-28,MD,462181
90,2020-09-20,MD,120156
91,2021-06-10,MD,460984
92,2020-12-01,MD,201135
93,2020-05-29,MD,50988
94,2021-07-28,MD,466930
95,2021-06-19,MD,461697
96,2021-05-24,MD,458520
97,2020-05-11,MD,33373
98,2020-02-25,MD,0
99,2020-10-04,MD,127290
100,2021-11-28,MD,584137
101,2021-08-28,MD,493915
102,2021-10-05,MD,537976
103,2021-06-22,MD,461828
104,2021-09-09,MD,506464
105,2021-08-02,MD,469542
106,2021-02-16,MD,372221
107,2020-07-19,MD,78131
108,2020-02-24,MD,0
109,2021-02-23,MD,377628
110,2020-06-19,MD,63548
111,2020-07-20,MD,78685
112,2020-12-09,MD,222653
113,2020-07-21,MD,79545
114,2021-06-27,MD,462144
115,2020-03-21,MD,190
116,2021-02-24,MD,378490
117,2020-03-23,MD,288
118,2020-11-15,MD,165930
119,2021-05-30,MD,459777
120,2020-04-16,MD,10784
121,2021-10-18,MD,551264
122,2020-04-01,MD,1985
123,2021-11-08,MD,566637
124,2021-03-21,MD,400023
125,2021-11-27,MD,583299
126,2020-04-12,MD,8225
127,2020-05-30,MD,52015
128,2020-01-26,MD,0
129,2020-07-12,MD,73109
130,2021-11-18,MD,574914
131,2021-05-12,MD,454271
132,2021-04-07,MD,420526
133,2021-01-08,MD,299606
134,2021-03-15,MD,394058
135,2020-03-19,MD,107
136,2020-10-12,MD,131861
137,2021-01-31,MD,354473
138,2021-11-14,MD,571625
139,2021-09-11,MD,509393
140,2020-05-13,MD,34812
141,2020-11-02,MD,146995
142,2021-03-09,MD,388666
143,2021-05-20,MD,457084
144,2021-10-15,MD,548743
145,2021-12-08,MD,597068
146,2020-11-10,MD,156709
147,2021-06-11,MD,461097
148,2021-12-11,MD,601573
149,2021-02-12,MD,368977
150,2020-12-27,MD,267198
151,2020-04-11,MD,7694
152,2021-07-30,MD,467961
153,2021-08-10,MD,475184
154,2021-12-02,MD,589113
155,2020-07-25,MD,83054
156,2021-11-05,MD,564564
157,2021-04-12,MD,427715
158,2020-03-12,MD,12
159,2020-03-30,MD,1413
160,2021-06-18,MD,461635
161,2021-12-29,MD,692326
162,2020-06-18,MD,63229
163,2020-03-26,MD,580
164,2021-05-06,MD,451267
165,2020-10-09,MD,130159
166,2021-03-27,MD,406709
167,2020-02-27,MD,0
168,2021-06-09,MD,460863
169,2020-08-09,MD,95503
170,2020-07-10,MD,71910
171,2021-07-13,MD,463383
172,2021-07-22,MD,465038
173,2020-09-02,MD,109319
174,2021-12-05,MD,593691
175,2020-12-13,MD,234647
176,2020-04-28,MD,20113
177,2020-06-17,MD,62969
178,2020-07-17,MD,76371
179,2020-09-05,MD,111607
180,2021-01-30,MD,352726
181,2021-06-29,MD,462217
182,2020-06-23,MD,65007
183,2020-12-26,MD,265440
184,2021-09-19,MD,519097
185,2021-11-26,MD,582608
186,2021-02-26,MD,380436
187,2021-05-17,MD,456216
188,2021-08-11,MD,476070
189,2020-10-02,MD,126222
190,2020-05-05,MD,27117
191,2020-02-23,MD,0
192,2020-10-13,MD,132343
193,2021-04-01,MD,412928
194,2021-10-31,MD,561270
195,2020-08-13,MD,98160
196,2021-11-13,MD,570806
197,2021-01-02,MD,283171
198,2021-03-18,MD,396746
199,2020-03-04,MD,0
200,2020-04-23,MD,15737
201,2020-12-20,MD,250808
202,2021-09-14,MD,512740
203,2021-12-21,MD,628425
204,2021-11-07,MD,566082
205,2021-03-12,MD,391480
206,2020-10-03,MD,126819
207,2021-05-13,MD,454745
208,2021-10-16,MD,549679
209,2020-09-07,MD,112883
210,2021-10-14,MD,547675
211,2020-03-31,MD,1660
212,2020-03-08,MD,5
213,2021-10-28,MD,558852
214,2020-08-22,MD,103523
215,2021-08-19,MD,483641
216,2021-02-01,MD,355636
217,2020-02-01,MD,0
218,2021-12-25,MD,661141
219,2020-08-23,MD,104102
220,2021-04-25,MD,443257
221,2020-05-12,MD,34061
222,2021-08-01,MD,469095
223,2021-12-07,MD,595861
224,2020-10-17,MD,135127
225,2021-01-21,MD,334519
226,2021-04-27,MD,444491
227,2020-10-27,MD,141741
228,2021-04-18,MD,436028
229,2020-03-11,MD,12
230,2020-12-21,MD,253073
231,2021-08-05,MD,471334
232,2021-04-13,MD,428799
233,2021-06-17,MD,461549
234,2021-02-07,MD,363650
235,2021-06-12,MD,461183
236,2020-05-28,MD,49709
237,2021-12-23,MD,640572
238,2021-06-23,MD,461887
239,2020-08-03,MD,91144
240,2020-03-22,MD,244
241,2020-12-29,MD,271061
242,2021-03-08,MD,388035
243,2021-01-05,MD,289758
244,2021-08-22,MD,486968
245,2020-06-21,MD,64306
246,2020-04-26,MD,18581
247,2020-11-06,MD,151505
248,2020-08-02,MD,90274
249,2021-06-30,MD,462279
250,2021-01-10,MD,306674
251,2020-06-28,MD,66777
252,2021-06-24,MD,461953
253,2020-07-02,MD,68423
254,2020-01-23,MD,0
255,2020-10-20,MD,136744
256,2021-10-25,MD,556595
257,2020-08-24,MD,104669
258,2021-04-20,MD,437584
259,2020-11-21,MD,179971
260,2020-12-31,MD,276662
261,2020-07-27,MD,84876
262,2020-11-05,MD,149964
263,2021-06-01,MD,459995
264,2020-12-17,MD,243984
265,2021-08-31,MD,497002
266,2020-02-13,MD,0
267,2021-08-21,MD,485978
268,2021-07-05,MD,462634
269,2021-12-03,MD,590813
270,2020-06-01,MD,53327
271,2021-10-21,MD,553593
272,2020-09-23,MD,121297
273,2020-10-24,MD,139487
274,2020-10-19,MD,136154
275,2020-06-09,MD,58904
276,2020-10-18,MD,135657
277,2020-04-10,MD,6968
278,2020-07-31,MD,88346
279,2020-08-20,MD,102229
280,2020-08-27,MD,106063
281,2020-12-05,MD,212384
282,2020-07-23,MD,80836
283,2021-10-23,MD,555366
284,2021-11-02,MD,562200
285,2020-04-09,MD,6185
286,2020-08-12,MD,97384
287,2020-04-15,MD,10032
288,2020-12-28,MD,269183
289,2020-04-13,MD,8936
290,2020-02-07,MD,0
291,2021-04-19,MD,436659
292,2020-06-16,MD,62409
293,2021-06-13,MD,461265
294,2021-02-05,MD,360584
295,2020-01-22,MD,0
296,2020-03-01,MD,0
297,2020-10-16,MD,134329
298,2020-07-08,MD,70861
299,2021-01-25,MD,343138
300,2021-08-17,MD,481569
301,2020-12-11,MD,228471
302,2020-12-30,MD,273689
303,2020-05-06,MD,28163
304,2020-08-06,MD,93005
305,2020-06-03,MD,54982
306,2020-04-05,MD,3609
307,2020-07-24,MD,81766
308,2020-09-21,MD,120568
309,2021-06-25,MD,462017
310,2021-11-01,MD,561718
311,2021-03-26,MD,405343
312,2020-09-13,MD,116110
313,2020-02-21,MD,0
314,2020-04-14,MD,9472
315,2020-03-28,MD,992
316,2020-06-14,MD,61701
317,2021-09-12,MD,510543
318,2021-11-09,MD,567085
319,2021-10-20,MD,552524
320,2021-08-30,MD,495924
321,2021-09-04,MD,502229
322,2020-08-16,MD,100212
323,2021-08-12,MD,477117
324,2020-04-27,MD,19487
325,2021-02-10,MD,366666
326,2021-08-18,MD,482581
327,2021-06-08,MD,460737
328,2020-03-05,MD,3
329,2020-06-22,MD,64603
330,2021-09-30,MD,532340
331,2021-11-16,MD,573044
332,2020-10-21,MD,137236
333,2020-05-24,MD,46313
334,2020-05-27,MD,48423
335,2020-06-04,MD,55858
336,2021-03-06,MD,386610
337,2021-02-19,MD,374974
338,2020-07-15,MD,75016
339,2021-09-17,MD,516784
340,2020-08-19,MD,101649
341,2021-01-11,MD,309686
342,2021-05-14,MD,455257
343,2021-01-06,MD,292904
344,2021-04-10,MD,425247
345,2021-10-27,MD,557923
346,2020-08-17,MD,100715
347,2021-07-20,MD,464491
348,2020-03-20,MD,149
349,2020-06-07,MD,57973
350,2020-08-10,MD,96258
351,2020-08-25,MD,105046
352,2021-07-03,MD,462535
353,2020-12-24,MD,260728
354,2020-10-25,MD,140279
355,2020-12-14,MD,236961
356,2020-04-19,MD,12830
357,2021-01-03,MD,285319
358,2021-07-16,MD,463848
359,2021-11-21,MD,578019
360,2021-11-29,MD,584899
361,2021-05-25,MD,458680
362,2020-04-07,MD,4371
363,2021-05-27,MD,459095
364,2021-02-18,MD,373966
365,2020-03-02,MD,0
366,2020-10-01,MD,125510
367,2021-10-17,MD,550550
368,2021-05-21,MD,457527
369,2020-03-10,MD,9
370,2020-08-26,MD,105486
371,2021-09-22,MD,522355
372,2021-05-07,MD,452035
373,2021-12-24,MD,651208
374,2020-04-30,MD,21742
375,2021-07-17,MD,464031
376,2021-06-21,MD,461779
377,2021-09-16,MD,515259
378,2020-03-16,MD,37
379,2021-08-26,MD,491174
380,2020-08-04,MD,91854
381,2021-08-07,MD,473116
382,2021-08-27,MD,492547
383,2020-02-04,MD,0
384,2021-05-08,MD,452691
385,2020-03-07,MD,3
386,2020-09-29,MD,124311
387,2021-07-15,MD,463665
388,2021-01-29,MD,350629
389,2020-04-25,MD,17766
390,2020-06-11,MD,60197
391,2020-06-13,MD,61305
392,2020-05-20,MD,42323
393,2020-04-08,MD,5529
394,2021-06-02,MD,460060
395,2020-09-25,MD,122359
396,2020-09-22,MD,120912
397,2020-06-29,MD,67254
398,2020-03-27,MD,774
399,2020-12-04,MD,209191
400,2021-03-11,MD,390490
401,2020-07-22,MD,80172
402,2020-12-16,MD,241767
403,2020-11-26,MD,190480
404,2020-09-04,MD,110831
405,2021-07-29,MD,467435
406,2021-05-02,MD,448989
407,2020-12-07,MD,217329
408,2020-06-08,MD,58404
409,2021-07-06,MD,462681
410,2020-02-16,MD,0
411,2020-06-26,MD,66115
412,2020-08-14,MD,98875
413,2021-07-23,MD,465326
414,2021-02-06,MD,362084
415,2020-05-22,MD,44424
416,2021-10-06,MD,539053
417,2021-11-03,MD,562896
