date,state,tot_cases,new_cases,administered_dose1_recip,series_complete_yes,new_dose_1,new_series_completed
2020-03-10,OH,3.0,3.0,0.0,0.0,0.0,0.0
2020-03-11,OH,3.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,OH,5.0,2.0,0.0,0.0,0.0,0.0
2020-03-13,OH,5.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,OH,5.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,OH,37.0,32.0,0.0,0.0,0.0,0.0
2020-03-16,OH,50.0,13.0,0.0,0.0,0.0,0.0
2020-03-17,OH,67.0,17.0,0.0,0.0,0.0,0.0
2020-03-18,OH,88.0,21.0,0.0,0.0,0.0,0.0
2020-03-19,OH,119.0,31.0,0.0,0.0,0.0,0.0
2020-03-20,OH,169.0,50.0,0.0,0.0,0.0,0.0
2020-03-21,OH,247.0,78.0,0.0,0.0,0.0,0.0
2020-03-22,OH,351.0,104.0,0.0,0.0,0.0,0.0
2020-03-23,OH,442.0,91.0,0.0,0.0,0.0,0.0
2020-03-24,OH,564.0,122.0,0.0,0.0,0.0,0.0
2020-03-25,OH,704.0,140.0,0.0,0.0,0.0,0.0
2020-03-26,OH,867.0,163.0,0.0,0.0,0.0,0.0
2020-03-27,OH,1137.0,270.0,0.0,0.0,0.0,0.0
2020-03-28,OH,1406.0,269.0,0.0,0.0,0.0,0.0
2020-03-29,OH,1653.0,247.0,0.0,0.0,0.0,0.0
2020-03-30,OH,1933.0,280.0,0.0,0.0,0.0,0.0
2020-03-31,OH,2199.0,266.0,0.0,0.0,0.0,0.0
2020-04-01,OH,2547.0,348.0,0.0,0.0,0.0,0.0
2020-04-02,OH,2902.0,355.0,0.0,0.0,0.0,0.0
2020-04-03,OH,3312.0,410.0,0.0,0.0,0.0,0.0
2020-04-04,OH,3739.0,427.0,0.0,0.0,0.0,0.0
2020-04-05,OH,4043.0,304.0,0.0,0.0,0.0,0.0
2020-04-06,OH,4450.0,407.0,0.0,0.0,0.0,0.0
2020-04-07,OH,4782.0,332.0,0.0,0.0,0.0,0.0
2020-04-08,OH,5148.0,366.0,0.0,0.0,0.0,0.0
2020-04-09,OH,5512.0,364.0,0.0,0.0,0.0,0.0
2020-04-10,OH,5878.0,366.0,0.0,0.0,0.0,0.0
2020-04-11,OH,6250.0,372.0,0.0,0.0,0.0,0.0
2020-04-12,OH,6518.0,268.0,0.0,0.0,0.0,0.0
2020-04-13,OH,6975.0,457.0,0.0,0.0,0.0,0.0
2020-04-14,OH,7280.0,305.0,0.0,0.0,0.0,0.0
2020-04-15,OH,7791.0,511.0,0.0,0.0,0.0,0.0
2020-04-16,OH,8414.0,623.0,0.0,0.0,0.0,0.0
2020-04-17,OH,9107.0,693.0,0.0,0.0,0.0,0.0
2020-04-18,OH,10222.0,1115.0,0.0,0.0,0.0,0.0
2020-04-19,OH,11602.0,1380.0,0.0,0.0,0.0,0.0
2020-04-20,OH,12919.0,1317.0,0.0,0.0,0.0,0.0
2020-04-21,OH,13725.0,806.0,0.0,0.0,0.0,0.0
2020-04-22,OH,14117.0,392.0,0.0,0.0,0.0,0.0
2020-04-23,OH,14694.0,577.0,0.0,0.0,0.0,0.0
2020-04-24,OH,15169.0,475.0,0.0,0.0,0.0,0.0
2020-04-25,OH,15587.0,418.0,0.0,0.0,0.0,0.0
2020-04-26,OH,15963.0,376.0,0.0,0.0,0.0,0.0
2020-04-27,OH,16325.0,362.0,0.0,0.0,0.0,0.0
2020-04-28,OH,16769.0,444.0,0.0,0.0,0.0,0.0
2020-04-29,OH,17303.0,534.0,0.0,0.0,0.0,0.0
2020-04-30,OH,18027.0,724.0,0.0,0.0,0.0,0.0
2020-05-01,OH,18743.0,716.0,0.0,0.0,0.0,0.0
2020-05-02,OH,19335.0,592.0,0.0,0.0,0.0,0.0
2020-05-03,OH,19914.0,579.0,0.0,0.0,0.0,0.0
2020-05-04,OH,20474.0,560.0,0.0,0.0,0.0,0.0
2020-05-05,OH,20969.0,495.0,0.0,0.0,0.0,0.0
2020-05-06,OH,21576.0,607.0,0.0,0.0,0.0,0.0
2020-05-07,OH,22131.0,555.0,0.0,0.0,0.0,0.0
2020-05-08,OH,23016.0,885.0,0.0,0.0,0.0,0.0
2020-05-09,OH,23697.0,681.0,0.0,0.0,0.0,0.0
2020-05-10,OH,24081.0,384.0,0.0,0.0,0.0,0.0
2020-05-11,OH,24777.0,696.0,0.0,0.0,0.0,0.0
2020-05-12,OH,25250.0,473.0,0.0,0.0,0.0,0.0
2020-05-13,OH,25721.0,471.0,0.0,0.0,0.0,0.0
2020-05-14,OH,26357.0,636.0,0.0,0.0,0.0,0.0
2020-05-15,OH,26954.0,597.0,0.0,0.0,0.0,0.0
2020-05-16,OH,27474.0,520.0,0.0,0.0,0.0,0.0
2020-05-17,OH,27923.0,449.0,0.0,0.0,0.0,0.0
2020-05-18,OH,28272.0,349.0,0.0,0.0,0.0,0.0
2020-05-19,OH,28952.0,680.0,0.0,0.0,0.0,0.0
2020-05-20,OH,29436.0,484.0,0.0,0.0,0.0,0.0
2020-05-21,OH,30167.0,731.0,0.0,0.0,0.0,0.0
2020-05-22,OH,30794.0,627.0,0.0,0.0,0.0,0.0
2020-05-23,OH,31408.0,614.0,0.0,0.0,0.0,0.0
2020-05-24,OH,31911.0,503.0,0.0,0.0,0.0,0.0
2020-05-25,OH,32477.0,566.0,0.0,0.0,0.0,0.0
2020-05-26,OH,33006.0,529.0,0.0,0.0,0.0,0.0
2020-05-27,OH,33439.0,433.0,0.0,0.0,0.0,0.0
2020-05-28,OH,33915.0,476.0,0.0,0.0,0.0,0.0
2020-05-29,OH,34566.0,651.0,0.0,0.0,0.0,0.0
2020-05-30,OH,35034.0,468.0,0.0,0.0,0.0,0.0
2020-05-31,OH,35513.0,479.0,0.0,0.0,0.0,0.0
2020-06-01,OH,35984.0,471.0,0.0,0.0,0.0,0.0
2020-06-02,OH,36413.0,429.0,0.0,0.0,0.0,0.0
2020-06-03,OH,36792.0,379.0,0.0,0.0,0.0,0.0
2020-06-04,OH,37282.0,490.0,0.0,0.0,0.0,0.0
2020-06-05,OH,37758.0,476.0,0.0,0.0,0.0,0.0
2020-06-06,OH,38111.0,353.0,0.0,0.0,0.0,0.0
2020-06-07,OH,38476.0,365.0,0.0,0.0,0.0,0.0
2020-06-08,OH,38837.0,361.0,0.0,0.0,0.0,0.0
2020-06-09,OH,39162.0,325.0,0.0,0.0,0.0,0.0
2020-06-10,OH,39575.0,413.0,0.0,0.0,0.0,0.0
2020-06-11,OH,40004.0,429.0,0.0,0.0,0.0,0.0
2020-06-12,OH,40424.0,420.0,0.0,0.0,0.0,0.0
2020-06-13,OH,40848.0,424.0,0.0,0.0,0.0,0.0
2020-06-14,OH,41148.0,300.0,0.0,0.0,0.0,0.0
2020-06-15,OH,41576.0,428.0,0.0,0.0,0.0,0.0
2020-06-16,OH,42010.0,434.0,0.0,0.0,0.0,0.0
2020-06-17,OH,42422.0,412.0,0.0,0.0,0.0,0.0
2020-06-18,OH,43122.0,700.0,0.0,0.0,0.0,0.0
2020-06-19,OH,43731.0,609.0,0.0,0.0,0.0,0.0
2020-06-20,OH,44262.0,531.0,0.0,0.0,0.0,0.0
2020-06-21,OH,44808.0,546.0,0.0,0.0,0.0,0.0
2020-06-22,OH,45537.0,729.0,0.0,0.0,0.0,0.0
2020-06-23,OH,46127.0,590.0,0.0,0.0,0.0,0.0
2020-06-24,OH,46759.0,632.0,0.0,0.0,0.0,0.0
2020-06-25,OH,47651.0,892.0,0.0,0.0,0.0,0.0
2020-06-26,OH,48638.0,987.0,0.0,0.0,0.0,0.0
2020-06-27,OH,49455.0,817.0,0.0,0.0,0.0,0.0
2020-06-28,OH,50309.0,854.0,0.0,0.0,0.0,0.0
2020-06-29,OH,51046.0,737.0,0.0,0.0,0.0,0.0
2020-06-30,OH,51789.0,743.0,0.0,0.0,0.0,0.0
2020-07-01,OH,52865.0,1076.0,0.0,0.0,0.0,0.0
2020-07-02,OH,54166.0,1301.0,0.0,0.0,0.0,0.0
2020-07-03,OH,55257.0,1091.0,0.0,0.0,0.0,0.0
2020-07-04,OH,56183.0,926.0,0.0,0.0,0.0,0.0
2020-07-05,OH,57151.0,968.0,0.0,0.0,0.0,0.0
2020-07-06,OH,57956.0,805.0,0.0,0.0,0.0,0.0
2020-07-07,OH,58904.0,948.0,0.0,0.0,0.0,0.0
2020-07-08,OH,60181.0,1277.0,0.0,0.0,0.0,0.0
2020-07-09,OH,61331.0,1150.0,0.0,0.0,0.0,0.0
2020-07-10,OH,62856.0,1525.0,0.0,0.0,0.0,0.0
2020-07-11,OH,64214.0,1358.0,0.0,0.0,0.0,0.0
2020-07-12,OH,65592.0,1378.0,0.0,0.0,0.0,0.0
2020-07-13,OH,66853.0,1261.0,0.0,0.0,0.0,0.0
2020-07-14,OH,67995.0,1142.0,0.0,0.0,0.0,0.0
2020-07-15,OH,69311.0,1316.0,0.0,0.0,0.0,0.0
2020-07-16,OH,70601.0,1290.0,0.0,0.0,0.0,0.0
2020-07-17,OH,72280.0,1679.0,0.0,0.0,0.0,0.0
2020-07-18,OH,73822.0,1542.0,0.0,0.0,0.0,0.0
2020-07-19,OH,74932.0,1110.0,0.0,0.0,0.0,0.0
2020-07-20,OH,76168.0,1236.0,0.0,0.0,0.0,0.0
2020-07-21,OH,77215.0,1047.0,0.0,0.0,0.0,0.0
2020-07-22,OH,78742.0,1527.0,0.0,0.0,0.0,0.0
2020-07-23,OH,80186.0,1444.0,0.0,0.0,0.0,0.0
2020-07-24,OH,81746.0,1560.0,0.0,0.0,0.0,0.0
2020-07-25,OH,83184.0,1438.0,0.0,0.0,0.0,0.0
2020-07-26,OH,84073.0,889.0,0.0,0.0,0.0,0.0
2020-07-27,OH,85177.0,1104.0,0.0,0.0,0.0,0.0
2020-07-28,OH,86497.0,1320.0,0.0,0.0,0.0,0.0
2020-07-29,OH,87893.0,1396.0,0.0,0.0,0.0,0.0
2020-07-30,OH,89626.0,1733.0,0.0,0.0,0.0,0.0
2020-07-31,OH,91159.0,1533.0,0.0,0.0,0.0,0.0
2020-08-01,OH,92087.0,928.0,0.0,0.0,0.0,0.0
2020-08-02,OH,93031.0,944.0,0.0,0.0,0.0,0.0
2020-08-03,OH,93963.0,932.0,0.0,0.0,0.0,0.0
2020-08-04,OH,95106.0,1143.0,0.0,0.0,0.0,0.0
2020-08-05,OH,96305.0,1199.0,0.0,0.0,0.0,0.0
2020-08-06,OH,97471.0,1166.0,0.0,0.0,0.0,0.0
2020-08-07,OH,98675.0,1204.0,0.0,0.0,0.0,0.0
2020-08-08,OH,99969.0,1294.0,0.0,0.0,0.0,0.0
2020-08-09,OH,100848.0,879.0,0.0,0.0,0.0,0.0
2020-08-10,OH,101731.0,883.0,0.0,0.0,0.0,0.0
2020-08-11,OH,102826.0,1095.0,0.0,0.0,0.0,0.0
2020-08-12,OH,104248.0,1422.0,0.0,0.0,0.0,0.0
2020-08-13,OH,105426.0,1178.0,0.0,0.0,0.0,0.0
2020-08-14,OH,106557.0,1131.0,0.0,0.0,0.0,0.0
2020-08-15,OH,107674.0,1117.0,0.0,0.0,0.0,0.0
2020-08-16,OH,108287.0,613.0,0.0,0.0,0.0,0.0
2020-08-17,OH,109062.0,775.0,0.0,0.0,0.0,0.0
2020-08-18,OH,109923.0,861.0,0.0,0.0,0.0,0.0
