key_0,I,Vax,I_Arima,I_SIR,S_SIR,Herd_Immunity,state
2020-12-13,8890.0,0.0,8890.0,8890.0,696721.45,0,AK
2020-12-14,8811.0,0.0,8811.0,9944.1,695310.1455,0,AK
2020-12-15,8544.0,0.0,8544.0,9852.341759092977,693932.1451430499,0,AK
2020-12-16,8460.0,0.0,8460.0,9550.57520931499,692624.4327680187,0,AK
2020-12-17,8042.0,0.0,8042.0,9453.662092877845,691349.550633175,0,AK
2020-12-18,7770.0,0.0,7770.0,8983.770314620479,690173.346240794,0,AK
2020-12-19,7210.0,2.0,7210.0,8677.425063926601,689065.3977144595,0,AK
2020-12-20,6698.0,6.0,6698.0,8049.846600932178,688079.7071363827,0,AK
2020-12-21,6291.0,0.0,6291.0,7476.406562463034,687203.0049311273,0,AK
2020-12-22,6170.0,0.0,6170.0,7020.6030854581,686423.0146535009,0,AK
2020-12-23,5959.0,1.0,5959.0,6884.257618880153,685676.0226023714,0,AK
2020-12-24,5622.0,17.0,5622.0,6647.617726553297,684978.3217926515,0,AK
2020-12-25,5174.0,19.0,5174.0,6270.604568984661,684339.0525771689,0,AK
2020-12-26,4837.0,0.0,4837.0,5770.017256873109,683793.2433659526,0,AK
2020-12-27,4504.0,0.0,4504.0,5393.476685877278,683338.8742464158,0,AK
2020-12-28,4222.0,1.0,4222.0,5021.6083374446725,682955.0328807927,0,AK
2020-12-29,4157.0,1.0,4157.0,4706.75841426076,682629.8427091526,0,AK
2020-12-30,3912.0,6.0,3912.0,4633.926645268101,682321.0290653645,0,AK
2020-12-31,3924.0,4.0,3924.0,4360.488696632723,682058.6915066496,0,AK
2021-01-01,3907.0,3.0,3907.0,4373.583702020756,681798.9051752766,0,AK
2021-01-02,3871.0,14.0,3871.0,4354.3591718913,681546.3255230611,0,AK
2021-01-03,3859.0,0.0,3859.0,4313.970466940491,681292.5918008899,0,AK
2021-01-04,3925.0,10.0,3925.0,4300.330247724706,681058.0127780134,0,AK
2021-01-05,3697.0,0.0,3697.0,4373.627177963184,680803.1083294129,0,AK
2021-01-06,3675.0,93.0,3675.0,4119.309803675446,680605.6360138719,0,AK
2021-01-07,3741.0,186.0,3741.0,4094.598829233241,680321.6408245,0,AK
2021-01-08,3991.0,937.0,3991.0,4167.844751913516,679934.8653786272,0,AK
2021-01-09,4177.0,1502.0,4177.0,4445.94857378096,678752.4967224885,0,AK
2021-01-10,4117.0,1997.0,4117.0,4651.804561829671,676981.9500505768,0,AK
2021-01-11,4168.0,577.0,4168.0,4582.996444734414,674747.8026767651,0,AK
2021-01-12,4119.0,184.0,4119.0,4637.2296341202255,673948.6107301629,0,AK
2021-01-13,4047.0,785.0,4047.0,4581.815546284619,673560.8147908625,0,AK
2021-01-14,4007.0,1063.0,4007.0,4501.297556719806,672590.2776576626,0,AK
2021-01-15,3828.0,2468.0,3828.0,4455.746803956642,671360.2537914151,0,AK
2021-01-16,3734.0,565.0,3734.0,4255.41642162794,668773.4362604445,0,AK
2021-01-17,3824.0,446.0,3824.0,4148.286711297268,668136.2709008284,0,AK
2021-01-18,3758.0,172.0,3758.0,4247.607743812096,667607.8275908652,0,AK
2021-01-19,3676.0,209.0,3676.0,4173.75495852652,667371.8957850015,0,AK
2021-01-20,3497.0,429.0,3497.0,4082.446622892433,667117.3087756876,0,AK
2021-01-21,3359.0,1105.0,3359.0,3883.4122289092734,666679.8777447357,0,AK
2021-01-22,3225.0,1411.0,3225.0,3729.7627812999367,665597.7076145598,0,AK
2021-01-23,3092.0,1540.0,3092.0,3580.0202634805287,664247.0131320766,0,AK
2021-01-24,3008.0,1076.0,3008.0,3431.240203470909,662807.4356544277,0,AK
2021-01-25,2914.0,493.0,2914.0,3336.843220645687,661863.4909343807,0,AK
2021-01-26,2839.0,160.0,2839.0,3231.81675037422,661530.6664175198,0,AK
2021-01-27,2710.0,1299.0,2710.0,3148.3791641922976,661548.7148748665,0,AK
2021-01-28,2552.0,2035.0,2552.0,3005.334766708004,660452.1315308384,0,AK
2021-01-29,2438.0,1591.0,2438.0,2829.352824956436,658661.361676288,0,AK
2021-01-30,2372.0,1801.0,2372.0,2701.772633984465,657355.3625683978,0,AK
2021-01-31,2240.0,1259.0,2240.0,2627.7871511565813,655865.7832201287,0,AK
2021-02-01,2157.0,978.0,2157.0,2480.6428642874234,654958.99252364,0,AK
2021-02-02,2143.0,907.0,2143.0,2388.1927884351862,654358.478381397,0,AK
2021-02-03,2158.0,1458.0,2158.0,2372.341286929944,653837.9608820817,0,AK
2021-02-04,2116.0,2879.0,2116.0,2388.640244799635,652769.1281713183,0,AK
2021-02-05,2011.0,2700.0,2011.0,2341.534651910433,650298.5093805519,0,AK
2021-02-06,1894.0,3647.0,1894.0,2223.9882720540622,648052.6931575494,0,AK
2021-02-07,1942.0,3897.0,1942.0,2093.4366373222,644905.413874366,0,AK
2021-02-08,1947.0,1393.0,1947.0,2144.824215233781,641532.3112346742,0,AK
2021-02-09,1970.0,958.0,1970.0,2148.555443035644,640697.8012507204,0,AK
2021-02-10,1975.0,2052.0,1975.0,2173.4881024971646,640302.8308500017,0,AK
2021-02-11,1933.0,2872.0,1933.0,2178.7918410702096,638817.09927186,0,AK
2021-02-12,1887.0,3105.0,1887.0,2131.6748508054675,636534.7619997645,0,AK
2021-02-13,1852.0,3661.0,1852.0,2079.772462974044,634051.8962025071,0,AK
2021-02-14,1912.0,5140.0,1912.0,2039.9429527601164,631045.5385734362,0,AK
2021-02-15,1931.0,3655.0,1931.0,2104.4642617363093,626580.8374973941,0,AK
2021-02-16,1878.0,433.0,1878.0,2123.025735948385,623644.6748150431,0,AK
2021-02-17,1741.0,1708.0,1741.0,2063.251490293272,623970.9637194566,0,AK
2021-02-18,1796.0,2833.0,1796.0,1912.8923196630064,623043.5046197419,0,AK
2021-02-19,1823.0,5366.0,1823.0,1972.868326136668,620990.8655331221,0,AK
2021-02-20,1835.0,7869.0,1835.0,2001.506805181807,616421.9157868949,0,AK
2021-02-21,1736.0,3689.0,1736.0,2012.3954643871573,609395.7897360673,0,AK
2021-02-22,1711.0,2254.0,1711.0,1900.498520156864,606640.8833185498,0,AK
2021-02-23,1662.0,651.0,1662.0,1871.8441514244407,605354.2160482256,0,AK
2021-02-24,1669.0,1895.0,1669.0,1817.654695380969,605692.5949066482,0,AK
2021-02-25,1687.0,3566.0,1687.0,1825.46429253366,604782.2103793338,0,AK
2021-02-26,1658.0,2271.0,1658.0,1844.7329177505408,602207.19535779,0,AK
2021-02-27,1724.0,3042.0,1724.0,1811.8571615305773,600959.167671253,0,AK
2021-02-28,1657.0,2521.0,1657.0,1883.394999216231,598941.7081381814,0,AK
2021-03-01,1640.0,2262.0,1640.0,1809.2887773641216,597477.9851365783,0,AK
2021-03-02,1705.0,1095.0,1705.0,1790.071737970524,596291.5006900991,0,AK
2021-03-03,1839.0,1543.0,1839.0,1860.468031308824,596273.1919376035,0,AK
2021-03-04,1754.0,1807.0,1754.0,2006.677451233391,595783.9454241369,0,AK
2021-03-05,1703.0,2474.0,1703.0,1913.6932506249368,595050.497004985,0,AK
2021-03-06,1696.0,3730.0,1696.0,1857.7093196358296,593666.5198581564,0,AK
2021-03-07,1685.0,3859.0,1685.0,1849.433301462698,591042.2285009694,0,AK
2021-03-08,1714.0,1947.0,1714.0,1836.2322698910727,588318.2768032114,0,AK
2021-03-09,1747.0,1505.0,1747.0,1866.5618569897497,587529.873606761,0,AK
2021-03-10,1716.0,1856.0,1716.0,1902.123553537592,587186.10560287,0,AK
2021-03-11,1781.0,3284.0,1781.0,1868.2100610335767,586500.2130572363,0,AK
2021-03-12,1789.0,2078.0,1789.0,1938.642463129084,584382.4541778206,0,AK
