Date,Recip_State,Recip_County,Administered_Dose1_Recip,Series_Complete_Yes
2021-12-29T00:00:00.000,OH,Miami County,51279,48377
2021-12-29T00:00:00.000,OH,Belmont County,34700,30959
2021-12-29T00:00:00.000,OH,Paulding County,8106,7544
2021-12-29T00:00:00.000,OH,Williams County,16970,15620
2021-12-29T00:00:00.000,OH,Wyandot County,10309,9888
2021-12-29T00:00:00.000,OH,Putnam County,16508,15762
2021-12-29T00:00:00.000,OH,Mahoning County,133656,123448
2021-12-29T00:00:00.000,OH,Pickaway County,30131,28151
2021-12-29T00:00:00.000,OH,Wood County,81902,77410
2021-12-29T00:00:00.000,OH,Geauga County,58243,55002
2021-12-29T00:00:00.000,OH,Muskingum County,41861,39835
2021-12-29T00:00:00.000,OH,Washington County,35006,31866
2021-12-29T00:00:00.000,OH,Lake County,152534,143658
2021-12-29T00:00:00.000,OH,Vinton County,5231,4935
2021-12-29T00:00:00.000,OH,Ross County,39994,36861
2021-12-29T00:00:00.000,OH,Sandusky County,31047,29476
2021-12-29T00:00:00.000,OH,Portage County,94126,88522
2021-12-29T00:00:00.000,OH,Medina County,116122,109643
2021-12-29T00:00:00.000,OH,Trumbull County,112897,103605
2021-12-29T00:00:00.000,OH,Tuscarawas County,41249,38851
2021-12-29T00:00:00.000,OH,Summit County,347687,324285
2021-12-29T00:00:00.000,OH,Fayette County,12661,11745
2021-12-29T00:00:00.000,OH,Scioto County,39683,35467
2021-12-29T00:00:00.000,OH,Van Wert County,12742,11638
2021-12-29T00:00:00.000,OH,Morrow County,14734,14006
2021-12-29T00:00:00.000,OH,Champaign County,17961,16854
2021-12-29T00:00:00.000,OH,Lorain County,198063,186133
2021-12-29T00:00:00.000,OH,Crawford County,18698,17828
2021-12-29T00:00:00.000,OH,Ashland County,23928,22086
2021-12-29T00:00:00.000,OH,Columbiana County,51256,47559
2021-12-29T00:00:00.000,OH,Highland County,16949,15544
2021-12-29T00:00:00.000,OH,Gallia County,14631,13267
2021-12-29T00:00:00.000,OH,Hardin County,12277,11415
2021-12-29T00:00:00.000,OH,Noble County,6306,5960
2021-12-29T00:00:00.000,OH,Licking County,96963,92238
2021-12-29T00:00:00.000,OH,Stark County,204696,191501
2021-12-29T00:00:00.000,OH,Shelby County,17724,16677
2021-12-29T00:00:00.000,OH,Clark County,70337,65745
2021-12-29T00:00:00.000,OH,Madison County,22995,21649
2021-12-29T00:00:00.000,OH,Allen County,45474,42065
2021-12-29T00:00:00.000,OH,Marion County,31943,29809
2021-12-29T00:00:00.000,OH,Lucas County,254644,235330
2021-12-29T00:00:00.000,OH,Preble County,18207,16718
2021-12-29T00:00:00.000,OH,Lawrence County,33296,27689
2021-12-29T00:00:00.000,OH,Montgomery County,308230,283886
2021-12-29T00:00:00.000,OH,Butler County,221000,205225
2021-12-29T00:00:00.000,OH,Greene County,117750,105866
2021-12-29T00:00:00.000,OH,Wayne County,53101,50134
2021-12-29T00:00:00.000,OH,Morgan County,6127,5829
2021-12-29T00:00:00.000,OH,Defiance County,18844,17844
2021-12-29T00:00:00.000,OH,Logan County,19620,18553
2021-12-29T00:00:00.000,OH,Hocking County,13732,12986
2021-12-29T00:00:00.000,OH,Fulton County,22695,21237
2021-12-29T00:00:00.000,OH,Cuyahoga County,816817,755221
2021-12-29T00:00:00.000,OH,Mercer County,16035,15077
2021-12-29T00:00:00.000,OH,Auglaize County,18116,17218
2021-12-29T00:00:00.000,OH,Hancock County,39450,36755
2021-12-29T00:00:00.000,OH,Adams County,10344,9185
2021-12-29T00:00:00.000,OH,Monroe County,6886,6082
2021-12-29T00:00:00.000,OH,Meigs County,11615,10207
2021-12-29T00:00:00.000,OH,Harrison County,6703,6210
2021-12-29T00:00:00.000,OH,Guernsey County,17740,16517
